"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2667","test_faq_item_shows_expected_answer[3-\u0441\u0435\u0433\u043e\u0434\u043d\u044f]","tests","2026-07-12","failed","2026-07-12","TestFAQ","test_faq","",""
"","2141","test_faq_item_shows_expected_answer[5-\u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","2523","test_faq_item_shows_expected_answer[6-\u043e\u0442\u043c\u0435\u043d\u0438\u0442\u044c]","tests","2026-07-12","failed","2026-07-12","TestFAQ","test_faq","",""
"","4707","test_order_flow_from_different_entry_points[footer-user_data1]","tests","2026-07-12","passed","2026-07-12","TestOrderFlow","test_order_flow","",""
"","2230","test_faq_item_shows_expected_answer[7-\u041c\u041a\u0410\u0414]","tests","2026-07-12","failed","2026-07-12","TestFAQ","test_faq","",""
"","2110","test_faq_item_shows_expected_answer[3-\u0437\u0430\u0432\u0442\u0440\u0430\u0448\u043d\u0435\u0433\u043e]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","2033","test_faq_item_shows_expected_answer[6-\u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","2009","test_faq_item_shows_expected_answer[1-\u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","3843","test_faq_item_shows_expected_answer[4-\u043f\u0440\u043e\u0434\u043b\u0438\u0442\u044c]","tests","2026-07-12","failed","2026-07-12","TestFAQ","test_faq","",""
"","2247","test_faq_item_shows_expected_answer[2-\u0432 \u0442\u0435\u0447\u0435\u043d\u0438\u0435 \u0434\u043d\u044f]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","4827","test_order_flow_from_different_entry_points[header-user_data0]","tests","2026-07-12","passed","2026-07-12","TestOrderFlow","test_order_flow","",""
"","3786","test_faq_item_shows_expected_answer[5-\u0437\u0430\u0440\u044f\u0434\u043a\u0443]","tests","2026-07-12","failed","2026-07-12","TestFAQ","test_faq","",""
"","2006","test_faq_item_shows_expected_answer[0-400]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","2108","test_faq_item_shows_expected_answer[4-\u0441\u0440\u043e\u0447\u043d\u043e\u0435]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
"","2146","test_faq_item_shows_expected_answer[7-\u041c\u043e\u0441\u043a\u0432\u0435]","tests","2026-07-12","passed","2026-07-12","TestFAQ","test_faq","",""
